loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc_roc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
22.51512451171875,29.875,6.537691794529687e-07,0.013339002409357311,50,,,,,,,,,,,,,,
22.41728271484375,37.25,1.3208805870580388e-06,0.026678004818714622,100,,,,,,,,,,,,,,
22.53541259765625,20.625,1.987991994663109e-06,0.04001700722807193,150,,,,,,,,,,,,,,
22.54130859375,10.375,2.6551034022681787e-06,0.053356009637429244,200,,,,,,,,,,,,,,
22.386845703125,29.0,3.3222148098732494e-06,0.06669501204678654,250,,,,,,,,,,,,,,
22.5571337890625,304.0,3.989326217478319e-06,0.08003401445614386,300,,,,,,,,,,,,,,
22.376884765625,77.0,4.656437625083389e-06,0.09337301686550117,350,,,,,,,,,,,,,,
22.4871240234375,68.5,5.32354903268846e-06,0.10671201927485849,400,,,,,,,,,,,,,,
22.2953662109375,30.875,5.99066044029353e-06,0.12005102168421579,450,,,,,,,,,,,,,,
22.334150390625,31.25,6.6577718478985995e-06,0.1333900240935731,500,,,,,,,,,,,,,,
22.2972216796875,8.8125,7.324883255503669e-06,0.1467290265029304,550,,,,,,,,,,,,,,
22.1669873046875,9.0,7.99199466310874e-06,0.16006802891228772,600,,,,,,,,,,,,,,
22.08189453125,40.5,8.65910607071381e-06,0.17340703132164503,650,,,,,,,,,,,,,,
22.171171875,106.0,9.326217478318879e-06,0.18674603373100235,700,,,,,,,,,,,,,,
22.08933349609375,45.0,9.99332888592395e-06,0.20008503614035966,750,,,,,,,,,,,,,,
21.9724951171875,25.0,1.066044029352902e-05,0.21342403854971698,800,,,,,,,,,,,,,,
21.93614013671875,61.75,1.132755170113409e-05,0.22676304095907426,850,,,,,,,,,,,,,,
21.83474853515625,30.25,1.199466310873916e-05,0.24010204336843158,900,,,,,,,,,,,,,,
21.099384765625,23.0,1.2661774516344229e-05,0.2534410457777889,950,,,,,,,,,,,,,,
19.519912109375,13.4375,1.33288859239493e-05,0.2667800481871462,1000,,,,,,,,,,,,,,
17.42544677734375,17.125,1.3995997331554372e-05,0.2801190505965035,1050,,,,,,,,,,,,,,
16.326441650390624,14.0625,1.4663108739159441e-05,0.2934580530058608,1100,,,,,,,,,,,,,,
15.111951904296875,58.0,1.533022014676451e-05,0.3067970554152181,1150,,,,,,,,,,,,,,
12.179154052734376,12.5625,1.599733155436958e-05,0.32013605782457544,1200,,,,,,,,,,,,,,
12.4328076171875,12.4375,1.666444296197465e-05,0.33347506023393275,1250,,,,,,,,,,,,,,
11.198280029296875,16.5,1.7331554369579722e-05,0.34681406264329007,1300,,,,,,,,,,,,,,
10.2587109375,28.25,1.7998665777184793e-05,0.3601530650526474,1350,,,,,,,,,,,,,,
10.92496337890625,62.75,1.866577718478986e-05,0.3734920674620047,1400,,,,,,,,,,,,,,
10.416683349609375,23.0,1.933288859239493e-05,0.386831069871362,1450,,,,,,,,,,,,,,
9.271080322265625,13.9375,2e-05,0.4001700722807193,1500,,,,,,,,,,,,,,
,,,0.4001700722807193,1500,0.6911839842796326,0.7594444228300199,0.8042549149966759,0.6779461998292058,0.9884055715508521,0.8965550788572114,538.6595,47.717,11.93,,,,,
9.355942993164062,21.5,1.999932277908739e-05,0.41350907469007664,1550,,,,,,,,,,,,,,
8.4647412109375,22.0,1.999729120807519e-05,0.42684807709943395,1600,,,,,,,,,,,,,,
8.718670043945313,13.8125,1.999390556212787e-05,0.4401870795087912,1650,,,,,,,,,,,,,,
9.188150634765625,43.0,1.9989166299811488e-05,0.4535260819181485,1700,,,,,,,,,,,,,,
9.775831298828125,23.75,1.9983074063031548e-05,0.46686508432750584,1750,,,,,,,,,,,,,,
7.4412689208984375,13.25,1.997562967694608e-05,0.48020408673686316,1800,,,,,,,,,,,,,,
,,,0.48020408673686316,1800,0.4881017208099365,0.8274909543633039,0.8508376505416134,0.7493925925925926,0.9840479340129172,0.9554763795038068,538.8575,47.699,11.925,,,,,
7.18856689453125,11.5,1.9966834149853874e-05,0.49354308914622047,1850,,,,,,,,,,,,,,
5.890364379882812,17.625,1.9956688673057905e-05,0.5068820915555778,1900,,,,,,,,,,,,,,
6.735778198242188,11.125,1.9945194620703986e-05,0.5202210939649351,1950,,,,,,,,,,,,,,
6.99219482421875,21.75,1.9932353549594638e-05,0.5335600963742924,2000,,,,,,,,,,,,,,
6.460926513671875,33.0,1.9918167198978246e-05,0.5468990987836497,2050,,,,,,,,,,,,,,
6.19811767578125,3.890625,1.9902637490313464e-05,0.560238101193007,2100,,,,,,,,,,,,,,
,,,0.560238101193007,2100,0.6102062463760376,0.8186203945064778,0.8454756380510441,0.7364166522316531,0.9924519492646486,0.9680493528219958,538.25,47.753,11.939,,,,,
6.625025634765625,19.125,1.9885766527008998e-05,0.5735771036023644,2150,,,,,,,,,,,,,,
6.245390014648438,28.75,1.9867556594138673e-05,0.5869161060117216,2200,,,,,,,,,,,,,,
6.6842578125,30.5,1.9848010158131962e-05,0.600255108421079,2250,,,,,,,,,,,,,,
6.494373779296875,22.125,1.9827129866439913e-05,0.6135941108304362,2300,,,,,,,,,,,,,,
5.86244140625,10.9375,1.9804918547176562e-05,0.6269331132397936,2350,,,,,,,,,,,,,,
6.242221069335938,10.1875,1.978137920873589e-05,0.6402721156491509,2400,,,,,,,,,,,,,,
,,,0.6402721156491509,2400,0.5451887845993042,0.8539470100766448,0.8712708319045332,0.7788608914229661,0.9885612014629211,0.9650469228059895,536.7564,47.886,11.972,,,,,
5.806356811523438,19.875,1.9756515039384353e-05,0.6536111180585082,2450,,,,,,,,,,,,,,
5.178209838867187,9.6875,1.973032940682904e-05,0.6669501204678655,2500,,,,,,,,,,,,,,
4.7994091796875,19.375,1.9702825857761543e-05,0.6802891228772229,2550,,,,,,,,,,,,,,
